,Birthdate,College Name,Draft Number Picked,Draft Round,Draft Team,Draft Year,Player Name
1522,1964-07-09,"University of California, Irvine, University of New Orleans",100th overall,5th round,Denver Nuggets,1987,Ron Grandison
1523,1983-04-20,"Bradley University, University of New Mexico",17th overall,1st round,Indiana Pacers,2005,Danny Granger
1524,1961-10-27,Villanova University,24th overall,1st round,Cleveland Cavaliers,1983,Stewart Granger
1525,1972-03-05,Xavier University,8th overall,1st round,Sacramento Kings,1994,Brian Grant
1526,1927-05-20,University of Minnesota,1950 NBA Draft,4th roun,Minneapolis Lakers,,Bud Grant
1527,1965-04-21,University of Michigan,15th overall,1st round,Seattle SuperSonics,1988,Gary Grant
1528,1966-08-29,Trenton State University,52nd overall,2nd round,Phoenix Suns,1989,Greg Grant
1529,1965-07-04,"Clemson University, University of Oklahoma",12th overall,1st round,Washington Bullets,1988,Harvey Grant
1530,1965-07-04,Clemson University,10th overall,1st round,Chicago Bulls,1987,Horace Grant
1531,1994-03-12,Syracuse University,39th overall,2nd round,Philadelphia 76ers,2014,Jerami Grant
1532,1992-10-09,University of Notre Dame,19th overall,1st round,Washington Wizards,2015,Jerian Grant
1533,1967-08-07,University of Utah,43rd overall,2nd round,Denver Nuggets,1993,Josh Grant
1534,1974-01-06,"Boston College, University of Wisconsin",20th overall,1st round,Minnesota Timberwolves,1997,Paul Grant
1535,1950-01-01,Kentucky State University,13th overall,1st round,Los Angeles Lakers,1972,Travis Grant
1536,1995-03-19,Clemson University,,,,,Donte Grantham
1537,1923-08-27,Ohio State University,,,,,Don Grate
1538,1962-01-05,Yale University,68th overall,3rd round,Philadelphia 76ers,1984,Butch Graves
1539,1984-12-07,University of Pittsburgh,49th overall,2nd round,Chicago Bulls,2007,Aaron Gray
1540,1972-05-31,Clemson University,,,,,Devin Gray
1541,1975-09-27,"University of Tennessee, University of California",22nd overall,1st round,Atlanta Hawks,1997,Ed Gray
1542,1969-12-13,"University of Nevada, Las Vegas",,,,,Evric Gray
1543,1945-02-23,Oklahoma City University,26th overall,3rd round,Cincinnati Royals,1967,Gary Gray
1544,1993-09-09,Louisiana State University,,,,,Josh Gray
1545,1951-12-19,"California State University, Long Beach",45th overall,3rd round,Atlanta Hawks,1973,Leonard Gray
1546,1963-05-27,"University of California, Los Angeles",29th overall,2nd round,Indiana Pacers,1984,Stuart Gray
1547,1967-07-08,University of Memphis,35th overall,2nd round,Miami Heat,1988,Sylvester Gray
1548,1922-03-20,Harvard University,,,,,Wyndol Gray
1549,1965-12-17,Iowa State University,13th overall,1st round,Milwaukee Bucks,1988,Jeff Grayer
1550,1947-09-15,Rutgers University,17th overall,2nd round,Milwaukee Bucks,1969,Bob Greacen
1551,1963-10-04,Oregon State University,23rd overall,1st round,Los Angeles Lakers,1985,AC Green
1552,1987-06-22,University of North Carolina,46th overall,2nd round,Cleveland Cavaliers,2009,Danny Green
1553,1982-10-25,Hampton University,,,,,Devin Green
1554,1990-03-04,Michigan State University,35th overall,2nd round,Golden State Warriors,2012,Draymond Green
1555,1991-05-09,Virginia Polytechnic Institute and State University,46th overall,2nd round,Utah Jazz,2013,Erick Green
1556,1986-01-26,,18th overall,1st round,Boston Celtics,2005,Gerald Green
1557,1990-06-21,University of Alabama,,,,,JaMychal Green
1558,1986-08-28,Georgetown University,5th overall,1st round,Boston Celtics,2007,Jeff Green
1559,1933-12-08,Michigan State University,5th overall,1st round,New York Knicks,1959,Johnny Green
1560,1959-09-19,University of Texas-Pan American,34th overall,2nd round,Denver Nuggets,1981,Ken Green
1561,1964-10-11,Wake Forest University,12th overall,1st round,Washington Bullets,1985,Kenny Green
1562,1947-03-22,Morehead State University,33rd overall,3rd round,Phoenix Suns,1969,Lamar Green
1563,1970-03-07,University of Georgia,39th overall,2nd round,Chicago Bulls,1992,Litterial Green
1564,1946-11-13,Long Island University,41st overall,3rd round,Cincinnati Royals,1969,Luther Green
1565,1951-08-06,Louisiana Tech University,4th overall,1st round,Seattle SuperSonics,1973,Mike Green
1566,1954-08-18,University of Michigan,16th overall,1st round,Golden State Warriors,1977,Rickey Green
1567,1970-02-02,"North Carolina State University, Iona College",41st overall,2nd round,Indiana Pacers,1991,Sean Green
1568,1933-08-20,Duquesne University,1st overall,1st round,Rochester Royals,1956,Si Green
1569,1961-01-04,"University of Nevada, Las Vegas",5th overall,1st round,Chicago Bulls,1983,Sidney Green
1570,1953-10-04,Indiana University,30th overall,2nd round,Chicago Bulls,1975,Steve Green
1571,1986-11-28,University of Florida,52nd overall,2nd round,Portland Trail Blazers,2007,Taurean Green
1572,1956-04-08,Southern University and A&M College,35th overall,2nd round,New Orleans Jazz,1978,Tommie Green
1573,1981-07-28,University of Detroit Mercy,41st overall,2nd round,Seattle SuperSonics,2003,Willie Green
1574,1988-02-21,Syracuse University,28th overall,1st round,Memphis Grizzlies,2008,Donte Greene
1575,1982-02-04,"University of Florida, University of Louisiana at Lafayette",53rd overall,2nd round,Boston Celtics,2005,Orien Greene
1576,1941-11-22,University of Maryland,24th overall,3rd round,Philadelphia 76ers,1963,Jerry Greenspan
1577,1957-05-27,"University of California, Los Angeles",2nd overall,1st round,Chicago Bulls,1979,Dave Greenwood
1578,1936-06-26,Marshall University,13th overall,2nd round,Syracuse Nationals,1958,Hal Greer
1579,1979-10-23,Temple University,,,,,Lynn Greer
1580,1945-08-13,University of South Carolina,24th overall,3rd round,New York Knicks,1967,Gary Gregor
1581,1958-12-26,University of Wisconsin,41st overall,2nd round,Washington Bullets,1981,Claude Gregory
1582,1961-04-28,University of Oregon,65th overall,3rd round,Seattle SuperSonics,1982,John Greig
1583,1930-06-22,La Salle University,1953 NBA Draft,3rd roun,Philadelphia Warriors,,Norm Grekin
1584,1953-05-12,University of Kentucky,18th overall,1st round,Washington Bullets,1975,Kevin Grevey
1585,1947-08-26,California Western Uiversity,,,,,Dennis Grey
1586,1974-07-04,Seton Hall University,,,,,Adrian Griffin
1587,1989-03-16,University of Oklahoma,1st overall,1st round,Los Angeles Clippers,2009,Blake Griffin
1588,1982-05-30,Seton Hall University,7th overall,1st round,New Jersey Nets,2001,Eddie Griffin
1589,1952-09-06,Idaho State University,71st overall,4th round,Phoenix Suns,1977,Greg Griffin
1590,1954-01-20,Western Michigan University,74th overall,5th round,New Orleans Jazz,1976,Paul Griffin
1591,1986-04-18,University of Oklahoma,48th overall,2nd round,Phoenix Suns,2009,Taylor Griffin
1592,1958-06-16,University of Louisville,2nd overall,1st round,Utah Jazz,1980,Darrell Griffith
1593,1928-08-15,University of Dayton,,1952 NBA Draf,Baltimore Bullets,,Chuck Grigsby
1594,1974-08-03,University of Missouri,,,,,Derek Grimm
1595,1919-09-24,Brown University,,,,,Woody Grimshaw
1596,1930-11-04,Duke University,3rd overall,1st round,Fort Wayne Pistons,1952,Dick Groat
1597,1953-08-03,"Seattle University, California State University, Long Beach",25th overall,2nd round,Portland Trail Blazers,1975,Bob Gross
1598,1947-09-07,University of Louisville,42nd overall,3rd round,Philadelphia 76ers,1969,Mike Grosso
1599,1940-12-28,Loyola Marymount University,28th overall,4th round,St. Louis Hawks,1962,Jerry Grote
1600,1926-10-07,University of Kentucky,2nd overall,1st round,Indianapolis Olympians,1949,Alex Groza
1601,1947-07-26,University of North Carolina,83rd overall,6th round,Los Angeles Lakers,1969,Dick Grubar
1602,1979-04-15,North Carolina State University,,,,,Anthony Grundy
1603,1955-04-24,University of Tennessee,11th overall,1st round,Milwaukee Bucks,1977,Ernie Grunfeld
1604,1937-09-13,George Washington University,14th overall,2nd round,Boston Celtics,1959,Gene Guarilia
1605,1958-10-30,University of Washington,61st overall,3rd round,Portland Trail Blazers,1981,Petur Gudmundsson
1606,1932-05-29,Iona College,17th overall,2nd round,New York Knicks,1954,Richie Guerin
1607,1969-12-19,North Carolina State University,6th overall,1st round,Washington Bullets,1992,Tom Gugliotta
1608,1968-10-28,,,,,,Andres Guibert
1609,1969-08-18,University of Minnesota Duluth,,,,,Jay Guidinger
1610,1923-02-05,Boston College,,,,,Coulby Gunther
1611,1937-07-22,University of Iowa,56th overall,8th round,Philadelphia Warriors,1959,Dave Gunther
1612,1925-08-07,Saint Joseph's University,,,,,Al Guokas
1613,1915-11-11,Saint Joseph's University,,,,,Matt Guokas
1614,1944-02-25,Saint Joseph's University,9th overall,1st round,Philadelphia 76ers,1966,Matt Guokas
1615,1988-12-27,University of California,,,,,Jorge Gutierrez
1616,1978-02-12,Indiana University,32nd overall,2nd round,Chicago Bulls,2000,AJ Guyton
1617,1953-05-10,Syracuse University,37th overall,3rd round,New Orleans Jazz,1975,Rudy Hackett
1618,1985-05-19,,,,,,Hamed Haddadi
1619,1940-01-15,Providence College,25th overall,3rd round,Boston Celtics,1962,Jim Hadnot
1620,1966-02-02,"University of Illinois at Urbana-Champaign, University of Evansville",45th overall,2nd round,Miami Heat,1989,Scott Haffner
1621,1931-12-09,University of Kentucky,1953 NBA Draft,3rd roun,Boston Celtics,,Cliff Hagan
1622,1955-06-25,St. Bonaventure University,43rd overall,2nd round,Philadelphia 76ers,1978,Glenn Hagan
1623,1947-01-29,Vanderbilt University,36th overall,3rd round,San Francisco Warriors,1969,Tom Hagan
1624,1925-08-25,North Carolina State University,,,,,Robert Hahn
1625,1945-12-11,Bowling Green State University,52nd overall,5th round,Seattle SuperSonics,1968,Al Hairston
1626,1942-05-31,New York University,33rd overall,4th round,Cincinnati Royals,1964,Happy Hairston
1627,1951-12-08,Michigan State University,64th overall,4th round,Detroit Pistons,1975,Lindsay Hairston
1628,1987-02-23,University of Oregon,48th overall,2nd round,Phoenix Suns,2008,Malik Hairston
1629,1992-12-24,University of North Carolina,26th overall,1st round,Miami Heat,2014,PJ Hairston
1630,1980-12-22,University of Tennessee,13th overall,1st round,Milwaukee Bucks,2002,Marcus Haislip
1631,1919-02-27,West Texas A&M University,,,,,Chick Halbert
1632,1933-01-30,Oregon State University,,1956 NBA Draf,Syracuse Nationals,,Swede Halbrook
1633,1918-08-30,Santa Clara University,,,,,Bruce Hale
1634,1945-09-21,Utah State University,,,,,Hal Hale
1635,1964-01-27,"University of California, Los Angeles",79th overall,4th round,Chicago Bulls,1987,Jack Haley
1636,1945-03-30,Utah State University,14th overall,1st round,Philadelphia 76ers,1968,Shaler Halimon
1637,1984-06-05,George Washington University,,,,,Mike Hall
1638,1949-07-03,Drake University,39th overall,3rd round,Atlanta Hawks,1971,Jeff Halliburton
1639,1973-07-23,Texas Tech University,,,,,Darvin Ham
1640,1973-11-13,University of Tennessee,38th overall,2nd round,Boston Celtics,1996,Steve Hamer
1641,1919-08-16,Franklin College,,,,,Dale Hamilton
1642,1995-08-08,University of Connecticut,56th overall,2nd round,Denver Nuggets,2016,Daniel Hamilton
1643,1944-05-08,Arizona State University,,,,,Dennis Hamilton
1644,1948-07-05,University of North Texas,152nd overall,9th round,Milwaukee Bucks,1970,Joe Hamilton
1645,1990-10-06,University of Texas at Austin,26th overall,1st round,Dallas Mavericks,2011,Jordan Hamilton
1646,1990-04-01,"Iowa State University, Louisiana State University",45th overall,2nd round,Philadelphia 76ers,2012,Justin Hamilton
1647,1921-06-10,Indiana University,,,,,Ralph Hamilton
1648,1978-02-14,University of Connecticut,7th overall,1st round,Washington Wizards,1999,Richard Hamilton
1649,1957-07-20,"University of California, Los Angeles",10th overall,1st round,Detroit Pistons,1979,Roy Hamilton
1650,1934-11-30,Morehead State University,67th overall,9th round,Philadelphia Warriors,1957,Steve Hamilton
1651,1978-05-26,Mississippi State University,,,,,Tang Hamilton
1652,1975-04-03,University of Pittsburgh,,,,,Thomas Hamilton
1653,1975-04-27,St. John's University,,,,,Zendon Hamilton
1654,1969-07-12,Louisiana State University,26th overall,1st round,Orlando Magic,1993,Geert Hammink
1655,1943-05-27,University of Tulsa,82nd overall,9th round,Los Angeles Lakers,1966,Julian Hammond
1656,1967-03-27,Georgia Institute of Technology,9th overall,1st round,Washington Bullets,1989,Tom Hammonds
1657,1992-08-27,Purdue University,46th overall,2nd round,Dallas Mavericks,2016,AJ Hammons
1658,1943-09-07,University of Houston,,,,,Joe Hamood
1659,1971-11-03,University of Kansas,38th overall,2nd round,Charlotte Hornets,1994,Darrin Hancock
1660,1973-11-16,Western Michigan University,,,,,Ben Handlogten
1661,1922-01-06,Oklahoma State University,,,,,Cecil Hankins
1662,1951-07-26,University of Pennsylvania,35th overall,2nd round,Boston Celtics,1973,Phil Hankinson
1663,1993-09-02,"Texas Tech University, University of Arkansas",,,,,Dusty Hannahs
1664,1923-07-19,University of Southern California,,1948 BAA Draf,Indianapolis Jets,,Alex Hannum
1665,1929-02-06,Loyola University of Chicago,,,,,Don Hanrahan
1666,1931-04-13,Long Island University,,,,,Rollen Hans
1667,1987-12-23,"Mississippi State University, University of Notre Dame",,,,,Ben Hansbrough
1668,1985-11-03,University of North Carolina,13th overall,1st round,Indiana Pacers,2009,Tyler Hansbrough
1669,1961-01-18,University of Iowa,54th overall,3rd round,Utah Jazz,1983,Bob Hansen
1670,1952-04-21,Louisiana State University,31st overall,2nd round,Kansas City Kings,1975,Glenn Hansen
1671,1954-09-14,University of Washington,37th overall,3rd round,Chicago Bulls,1976,Lars Hansen
1672,1978-04-15,"Utah Valley State College, Brigham Young University",37th overall,2nd round,Atlanta Hawks,2003,Travis Hansen
1673,1968-10-06,University of Kentucky,,,,,Reggie Hanson
1674,1957-12-06,University of Notre Dame,20th overall,1st round,Seattle SuperSonics,1980,Bill Hanzlik
1675,1988-01-02,University of Notre Dame,52nd overall,2nd round,Boston Celtics,2010,Luke Harangody
1676,1971-07-18,University of Memphis,3rd overall,1st round,Golden State Warriors,1993,Anfernee Hardaway
1677,1966-09-01,University of Texas at El Paso,14th overall,1st round,Golden State Warriors,1989,Tim Hardaway
1678,1992-03-16,University of Michigan,24th overall,1st round,New York Knicks,2013,Tim Hardaway Jr
1679,1989-08-26,Arizona State University,3rd overall,1st round,Oklahoma City Thunder,2009,James Harden
1680,1942-05-04,,29th overall,4th round,Detroit Pistons,1962,Reggie Harding
1681,1938-09-13,Grambling State University,19th overall,3rd round,St. Louis Hawks,1962,Charlie Hardnett
1682,1957-05-25,University of Michigan,,,,,Alan Hardy
1683,,Baylor University,21st overall,3rd round,Detroit Pistons,1967,Darrell Hardy
1684,1956-12-01,University of San Francisco,11th overall,1st round,New Orleans Jazz,1978,James Hardy
1685,1941-03-14,University of New Mexico,57th overall,7th round,Detroit Pistons,1963,Ira Harge
1686,1920-08-20,University of Texas at Austin,,,,,John Hargis
1687,1993-05-11,St. John's University,15th overall,1st round,Philadelphia 76ers,2012,Maurice Harkless
1688,1940-05-07,Loyola University of Chicago,65th overall,8th round,Syracuse Nationals,1962,Jerry Harkness
1689,1946-10-14,University of South Carolina,13th overall,1st round,Atlanta Hawks,1968,Skip Harlicka
1690,1969-02-06,University of Louisville,,,,,Jerome Harmon
1691,1961-10-13,University of Illinois at Urbana-Champaign,11th overall,1st round,Dallas Mavericks,1983,Derek Harper
1692,1989-08-30,University of Richmond,32nd overall,2nd round,Cleveland Cavaliers,2011,Justin Harper
1693,1957-12-09,North Park University,56th overall,3rd round,Portland Trail Blazers,1980,Mike Harper
1694,1964-01-20,Miami University,8th overall,1st round,Cleveland Cavaliers,1986,Ron Harper
1695,1976-05-31,Georgia Institute of Technology,15th overall,1st round,Orlando Magic,1998,Matt Harpring
1696,1994-01-26,University of Louisville,32nd overall,2nd round,Houston Rockets,2015,Montrezl Harrell
1697,1989-02-12,University of Kentucky,45th overall,2nd round,New Orleans Hornets,2011,Josh Harrellson
1698,1980-07-05,"North Carolina State University, Auburn University",,,,,Adam Harrington
1699,1980-02-17,,25th overall,1st round,Indiana Pacers,1998,Al Harrington
1700,1980-10-02,Wingate University,,,,,Junior Harrington
1701,1974-01-31,Georgetown University,30th overall,2nd round,Houston Rockets,1996,Othella Harrington
1702,1947-01-13,Stanford University,16th overall,2nd round,Seattle SuperSonics,1968,Art Harris
1703,1950-11-26,Virginia Commonwealth University,63rd overall,4th round,Buffalo Braves,1974,Bernie Harris
1704,1951-11-12,Northern Illinois University,115th overall,7th round,Chicago Bulls,1973,Billy Harris
1705,1927-03-16,Oklahoma State University,3rd overall,1st round,Fort Wayne Pistons,1949,Bob Harris
1706,1933-08-11,University of Dayton,,,,,Chris Harris
1707,1983-02-27,University of Wisconsin,5th overall,1st round,Washington Wizards,2004,Devin Harris
1708,1989-07-06,Gonzaga University,,,,,Elias Harris
1709,1994-09-14,Michigan State University,19th overall,1st round,Chicago Bulls,2014,Gary Harris
